회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,HTS,ARS,스마트폰,오프라인.1,HTS.1,ARS.1,스마트폰.1,비고
SK증권,/img/sub/ico_xls.gif,2011/11/18,10만원,변경전,500.0,1150.0,250.0,50.0,500.0,15.0,250.0,50.0,증권통어플사용시
SK증권,/img/sub/ico_xls.gif,2015/06/01,10만원,변경후,500.0,1150.0,250.0,1150.0,500.0,15.0,250.0,1150.0,증권통App 수수료율 변경
유안타증권,/img/sub/ico_pdf.gif,2020/09/14,10만원,변경전,500.0,350.0,197.0,100.0,500.0,14.0,197.0,100.0,유관기관수수료 20/09/14 ~ 20/12/31 한시적 면제
대신증권,/img/sub/ico_pdf.gif,2020/09/15,10만원,변경전,494.0,864.0,194.0,194.0,494.0,864.0,194.0,194.0,유관기관수수료 한시적 면제에 따른 위탁수수료 변동사항으로 20/09/15 ~ 20/12/31 기간 내 시행
교보증권,/img/sub/ico_pdf.gif,2013/12/19,10만원,변경전,490.0,640.0,240.0,640.0,490.0,640.0,240.0,10.0,2013년 9월 30일 이후 은행연계 신규개설계좌의 SMART K 매매에 한함
NH투자증권,/img/sub/ico_pdf.gif,2020/06/10,10만원,변경후,497.0,499.0,697.0,697.0,497.0,499.0,697.0,697.0,NAMUH 10
신영증권,/img/sub/ico_hwp.gif,2012/05/18,10만원,변경전,449.0,99.0,249.0,99.0,449.0,99.0,249.0,14.0,유관기관수수료인하
아이엠증권,/img/sub/ico_hwp.gif,2012/05/02,10만원,변경후,497.0,497.0,247.0,497.0,497.0,497.0,247.0,497.0,유관기관수수료인하
하나증권,/img/sub/ico_pdf.gif,2012/05/02,10만원,변경전,490.0,290.0,290.0,290.0,490.0,10.0,10.0,10.0,증권유관기관 수수료 인하(‘12.5.2)부분 반영
키움증권,/img/sub/ico_pdf.gif,2020/09/16,10만원,변경전,290.0,10.0,140.0,10.0,290.0,10.0,140.0,10.0,유관기관수수료 20/09/16 ~ 20/12/31 한시적 면제
엘에스증권,/img/sub/ico_pdf.gif,2012/12/03,10만원,변경후,480.0,15.0,100.0,15.0,300.0,15.0,100.0,15.0,"거래금액 5천만원 미만 : 0.48%
거래금액 5천~3억 미만 : 0.45%
거래금액 3억이상        : 0.38%"
SK증권,/img/sub/ico_xls.gif,2015/06/01,1억원,변경후,500000.0,120000.0,250000.0,120000.0,500000.0,15000.0,250000.0,120000.0,증권통App 수수료율 변경
유안타증권,/img/sub/ico_pdf.gif,2020/09/14,1억원,변경전,500000.0,65000.0,197000.0,100000.0,500000.0,14000.0,197000.0,100000.0,유관기관수수료 20/09/14 ~ 20/12/31 한시적 면제
대신증권,/img/sub/ico_pdf.gif,2020/09/15,1억원,변경전,468656.0,93656.0,193656.0,193656.0,468656.0,93656.0,193656.0,193656.0,유관기관수수료 한시적 면제에 따른 위탁수수료 변동사항으로 20/09/15 ~ 20/12/31 기간 내 시행
교보증권,/img/sub/ico_pdf.gif,2013/12/19,1억원,변경전,499160.0,99160.0,249160.0,149160.0,499160.0,99160.0,249160.0,14000.0,2013년 9월 30일 이후 은행개설 신규계좌의 SMART K 매매에 한함
NH투자증권,/img/sub/ico_pdf.gif,2020/06/10,1억원,변경후,497200.0,96664.0,197164.0,197164.0,497200.0,96664.0,197164.0,197164.0,NAMUH 10000
신영증권,/img/sub/ico_hwp.gif,2012/05/18,1억원,변경전,449164.0,99164.0,249164.0,99164.0,449164.0,99164.0,249164.0,14163.0,유관기관수수료인하
아이엠증권,/img/sub/ico_hwp.gif,2012/05/02,1억원,변경후,497200.0,97200.0,247200.0,97200.0,497200.0,97200.0,247200.0,97200.0,유관수수료인하
키움증권,/img/sub/ico_pdf.gif,2020/09/16,1억원,변경전,296360.0,11360.0,146360.0,11360.0,296360.0,11360.0,146360.0,11360.0,유관기관수수료 20/09/16 ~ 20/12/31 한시적 면제
엘에스증권,/img/sub/ico_pdf.gif,2012/12/03,1억원,변경후,450000.0,15000.0,100000.0,15000.0,300000.0,15000.0,100000.0,15000.0,"거래금액 5천만원 미만 : 0.48%
거래금액 5천~3억 미만 : 0.45%
거래금액 3억이상        : 0.38%"
