회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,HTS,ARS,스마트폰,오프라인.1,HTS.1,ARS.1,스마트폰.1,비고
유진투자증권,/img/sub/ico_xls.gif,2012/10/08,10만원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0
유진투자증권,/img/sub/ico_xls.gif,2020/06/17,10만원,변경후,500.0,180.0,200.0,150.0,500.0,15.0,200.0,15.0,0
유진투자증권,/img/sub/ico_xls.gif,2020/06/17,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SK증권,/img/sub/ico_xls.gif,2011/11/18,10만원,변경전,500.0,1150.0,250.0,50.0,500.0,15.0,250.0,50.0,증권통어플사용시
SK증권,/img/sub/ico_xls.gif,2015/06/01,10만원,변경후,500.0,1150.0,250.0,1150.0,500.0,15.0,250.0,1150.0,증권통App 수수료율 변경
SK증권,/img/sub/ico_xls.gif,2015/06/01,10만원,변경율,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0
유안타증권,/img/sub/ico_pdf.gif,2020/09/14,10만원,변경전,500.0,350.0,197.0,100.0,500.0,14.0,197.0,100.0,유관기관수수료 20/09/14 ~ 20/12/31 한시적 면제
유안타증권,/img/sub/ico_pdf.gif,2021/01/04,10만원,변경후,500.0,350.0,197.0,100.0,500.0,14.0,197.0,100.0,0
유안타증권,/img/sub/ico_pdf.gif,2021/01/04,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
신한투자증권,/img/sub/ico_pdf.gif,2014/05/02,10만원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
신한투자증권,/img/sub/ico_pdf.gif,2015/04/01,10만원,변경후,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
신한투자증권,/img/sub/ico_pdf.gif,2015/04/01,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
유화증권,/img/sub/ico_pdf.gif,2011/11/18,10만원,변경전,450.0,80.0,250.0,0.0,450.0,80.0,250.0,0.0,거래소 기준
유화증권,/img/sub/ico_pdf.gif,2012/05/02,10만원,변경후,440.0,70.0,240.0,0.0,440.0,70.0,240.0,0.0,증권유관기관 수수료인하('12.5.2)부분 반영
유화증권,/img/sub/ico_pdf.gif,2012/05/02,10만원,변경율,-0.02222,-0.125,-0.04,0.0,-0.02222,-0.125,-0.04,0.0,0
미래에셋증권,/img/sub/ico_pdf.gif,2014/03/24,10만원,변경전,490.0,490.0,190.0,190.0,490.0,10.0,190.0,10.0,0
미래에셋증권,/img/sub/ico_pdf.gif,2017/01/02,10만원,변경후,490.0,140.0,140.0,140.0,490.0,14.0,14.0,14.0,0
미래에셋증권,/img/sub/ico_pdf.gif,2017/01/02,10만원,변경율,0.0,-0.71429,-0.26316,-0.26316,0.0,0.4,-0.92632,0.4,0
상상인증권,/img/sub/ico_pdf.gif,2020/04/23,10만원,변경후,490.0,140.0,200.0,140.0,490.0,140.0,200.0,140.0,0
대신증권,/img/sub/ico_pdf.gif,2020/09/15,10만원,변경전,494.0,864.0,194.0,194.0,494.0,864.0,194.0,194.0,유관기관수수료 한시적 면제에 따른 위탁수수료 변동사항으로 20/09/15 ~ 20/12/31 기간 내 시행
대신증권,/img/sub/ico_pdf.gif,2021/01/01,10만원,변경후,497.0,497.0,197.0,197.0,497.0,497.0,197.0,197.0,0
대신증권,/img/sub/ico_pdf.gif,2021/01/01,10만원,변경율,0.00607,-0.42477,0.01546,0.01546,0.00607,-0.42477,0.01546,0.01546,0
교보증권,/img/sub/ico_pdf.gif,2013/12/19,10만원,변경전,490.0,640.0,240.0,640.0,490.0,640.0,240.0,10.0,2013년 9월 30일 이후 은행연계 신규개설계좌의 SMART K 매매에 한함
교보증권,/img/sub/ico_pdf.gif,2021/09/01,10만원,변경후,490.0,640.0,240.0,640.0,490.0,640.0,240.0,640.0,0
교보증권,/img/sub/ico_pdf.gif,2021/09/01,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0
NH투자증권,/img/sub/ico_pdf.gif,2020/06/10,10만원,변경후,497.0,499.0,697.0,697.0,497.0,499.0,697.0,697.0,NAMUH 10
한양증권,/img/sub/ico_hwp.gif,2012/06/04,10만원,변경전,497.0,1647.0,199.0,149.0,497.0,1647.0,199.0,149.0,0
한양증권,/img/sub/ico_hwp.gif,2012/10/12,10만원,변경후,497.0,1647.0,199.0,100.0,497.0,1647.0,199.0,100.0,0
한양증권,/img/sub/ico_hwp.gif,2012/10/12,10만원,변경율,0.0,0.0,0.0,-0.32886,0.0,0.0,0.0,-0.32886,0
신영증권,/img/sub/ico_hwp.gif,2012/05/18,10만원,변경전,449.0,99.0,249.0,99.0,449.0,99.0,249.0,14.0,유관기관수수료인하
신영증권,/img/sub/ico_hwp.gif,2021/08/23,10만원,변경후,449.0,99.0,249.0,99.0,449.0,99.0,249.0,99.0,0
신영증권,/img/sub/ico_hwp.gif,2021/08/23,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07143,0
삼성증권,/img/sub/ico_pdf.gif,2015/03/25,10만원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
삼성증권,/img/sub/ico_pdf.gif,2021/10/01,10만원,변경후,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,0
삼성증권,/img/sub/ico_pdf.gif,2021/10/01,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
메리츠증권,/img/sub/ico_pdf.gif,2020/09/14,10만원,변경전,494.0,1094.0,194.0,1094.0,494.0,1094.0,194.0,1094.0,0
메리츠증권,/img/sub/ico_pdf.gif,2021/01/01,10만원,변경후,498.0,1098.0,198.0,1098.0,498.0,1098.0,198.0,1098.0,0
메리츠증권,/img/sub/ico_pdf.gif,2021/01/01,10만원,변경율,0.0081,0.00366,0.02062,0.00366,0.0081,0.00366,0.02062,0.00366,0
KB증권,/img/sub/ico_pdf.gif,2017/09/27,10만원,변경전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KB증권,/img/sub/ico_pdf.gif,2021/11/25,10만원,변경후,497.0,1157.0,247.0,197.0,497.0,15.0,150.0,120.0,0
KB증권,/img/sub/ico_pdf.gif,2021/11/25,10만원,변경율,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
한화투자증권,/img/sub/ico_pdf.gif,2015/10/05,10만원,변경전,29500.0,6950.0,11950.0,6950.0,29500.0,6950.0,11950.0,6950.0,0
